case  seed  K   E(engine)   H(header)    E-H   pred   logZ(IS)    ESS  lnK!  ML-loglik       BIC       ICL   it
K2      0  1    -1621.25    -1621.25 -0.000  0.000   -1621.24   2867  0.00   -1617.52    3242.9    3242.9    2
K2      0  2    -1399.45    -1400.45  0.999  1.000   -1398.91    983  0.69   -1379.13    2797.3    2993.6   44
K2      0  3    -1415.83    -1418.81  2.983  2.974   -1410.75     14  1.79   -1376.40    2838.8    3111.2 2277
K2      0  4    -1433.31    -1439.24  5.926  5.878   -1422.98      3  3.18   -1374.84    2898.2    3194.8 2153
      seed 0: dE(K->K+1) [221.8, -16.37, -17.49]  dH [220.8, -18.36, -20.43]  dlogZ [222.33, -11.84, -12.22]
K2      1  1    -1618.03    -1618.03  0.000  0.000   -1618.03   2864  0.00   -1614.36    3236.5    3236.5    2
K2      1  2    -1378.41    -1379.41  0.999  1.000   -1377.84    394  0.69   -1358.33    2755.5    2957.7   46
K2      1  3    -1394.84    -1397.83  2.985  2.976   -1389.64      5  1.79   -1355.89    2797.3    3085.2 2846
K2      1  4    -1412.39    -1418.32  5.932  5.887   -1401.54      2  3.18   -1354.20    2856.1    3332.1 2319
      seed 1: dE(K->K+1) [239.63, -16.43, -17.55]  dH [238.63, -18.42, -20.5]  dlogZ [240.19, -11.8, -11.9]
K2      2  1    -1593.10    -1593.10  0.000  0.000   -1593.10   2863  0.00   -1589.40    3186.6    3186.6    2
K2      2  2    -1395.12    -1396.11  0.999  1.000   -1394.50    754  0.69   -1374.98    2788.9    2953.2   55
K2      2  3    -1414.99    -1417.98  2.991  2.999   -1410.48     11  1.79   -1368.29    2822.3    2962.9 2853
K2      2  4    -1435.53    -1441.48  5.950  5.930   -1426.47     15  3.18   -1364.07    2876.1    3106.7 1870
      seed 2: dE(K->K+1) [197.99, -19.87, -20.54]  dH [196.99, -21.87, -23.5]  dlogZ [198.6, -15.99, -15.99]
K2      3  1    -1588.46    -1588.46  0.000  0.000   -1588.46   2861  0.00   -1584.76    3177.3    3177.3    2
K2      3  2    -1374.59    -1375.59  0.999  1.000   -1374.00    209  0.69   -1354.32    2747.6    2914.6   59
K2      3  3    -1393.85    -1396.85  2.994  2.998   -1389.22     33  1.79   -1351.73    2789.1    2970.5 3000
K2      3  4    -1408.49    -1414.39  5.903  5.839   -1399.31     11  3.18   -1350.13    2848.1    3063.5 2696
      seed 3: dE(K->K+1) [213.87, -19.26, -14.63]  dH [212.87, -21.26, -17.54]  dlogZ [214.46, -15.22, -10.09]
K2      4  1    -1593.01    -1593.01 -0.000  0.000   -1593.01   2859  0.00   -1589.31    3186.4    3186.4    2
K2      4  2    -1402.84    -1403.84  0.999  1.000   -1402.28    745  0.69   -1382.30    2803.5    2952.6   51
K2      4  3    -1419.27    -1422.25  2.979  2.967   -1414.31     10  1.79   -1376.71    2839.0    2990.2 1724
K2      4  4    -1436.51    -1442.42  5.907  5.847   -1427.99     12  3.18   -1374.33    2896.5    3097.9 1808
      seed 4: dE(K->K+1) [190.17, -16.43, -17.24]  dH [189.17, -18.41, -20.17]  dlogZ [190.73, -12.03, -13.67]
K2      5  1    -1603.22    -1603.22  0.000  0.000   -1603.23   2862  0.00   -1599.53    3206.8    3206.8    2
K2      5  2    -1394.80    -1395.80  0.999  1.000   -1394.43    890  0.69   -1374.55    2788.0    2961.1   44
K2      5  3    -1410.94    -1413.93  2.989  2.985   -1406.86     36  1.79   -1372.34    2830.3    3141.4 3000
K2      5  4    -1428.82    -1434.74  5.928  5.875   -1411.87      1  3.18   -1370.32    2888.5    3342.7 3000
      seed 5: dE(K->K+1) [208.42, -16.14, -17.87]  dH [207.42, -18.13, -20.81]  dlogZ [208.79, -12.42, -5.01]
K2      6  1    -1588.00    -1588.00 -0.000  0.000   -1588.00   2863  0.00   -1584.32    3176.4    3176.4    2
K2      6  2    -1386.87    -1387.87  0.999  1.000   -1386.51   1549  0.69   -1366.56    2771.9    2937.3   32
K2      6  3    -1402.78    -1405.76  2.981  2.971   -1397.68     12  1.79   -1362.18    2809.8    3127.8 1832
K2      6  4    -1419.97    -1425.89  5.915  5.858   -1409.97      2  3.18   -1360.25    2868.0    3288.2 1714
      seed 6: dE(K->K+1) [201.13, -15.91, -17.2]  dH [200.13, -17.89, -20.13]  dlogZ [201.48, -11.17, -12.28]
K2      7  1    -1632.58    -1632.58 -0.000  0.000   -1632.58   2861  0.00   -1628.89    3265.6    3265.6    2
K2      7  2    -1431.84    -1432.84  0.999  1.000   -1431.35    837  0.69   -1411.71    2862.4    3038.7   33
K2      7  3    -1448.44    -1451.43  2.982  2.972   -1443.51     22  1.79   -1408.61    2902.9    3269.3 3000
K2      7  4    -1465.96    -1471.88  5.922  5.870   -1457.55     20  3.18   -1405.26    2958.6    3246.7 2465
      seed 7: dE(K->K+1) [200.75, -16.61, -17.51]  dH [199.75, -18.59, -20.45]  dlogZ [201.23, -12.16, -14.04]
K2      8  1    -1619.90    -1619.90 -0.000  0.000   -1619.90   2862  0.00   -1616.20    3240.2    3240.2    2
K2      8  2    -1384.70    -1385.70  0.999  1.000   -1384.30   1094  0.69   -1364.51    2768.0    2947.0   41
K2      8  3    -1400.94    -1403.93  2.983  2.974   -1396.17     12  1.79   -1362.51    2810.7    3002.9 2426
K2      8  4    -1418.29    -1424.21  5.924  5.871   -1408.01      2  3.18   -1359.14    2866.3    3161.5 2208
      seed 8: dE(K->K+1) [235.2, -16.25, -17.34]  dH [234.2, -18.23, -20.29]  dlogZ [235.6, -11.87, -11.84]
K2      9  1    -1622.66    -1622.66 -0.000  0.000   -1622.66   2859  0.00   -1618.98    3245.7    3245.7    2
K2      9  2    -1386.06    -1387.06  0.999  1.000   -1385.42    462  0.69   -1365.93    2770.8    2958.4   47
K2      9  3    -1403.13    -1406.13  2.994  2.998   -1398.64     25  1.79   -1359.18    2803.9    3231.5 1139
K2      9  4    -1423.73    -1429.69  5.955  5.935   -1413.77      3  3.18   -1355.96    2859.7    3266.9 2127
